x1,x2,x3,dx1,dx2,dx3,y
"5,02","0,36",45,"13,4","813,24",0,"239,77"
"5,03","1,17",45,"89,67","814,5",0,"902,34"
"5,12","1,99",45,"166,07","822,91","-0,03","1580,63"
"5,29","2,81",45,"243,25","838,48","-0,08","2298,21"
"5,53","3,65",45,"321,89","861,3","-0,16","3079,56"
"5,85","4,51",45,"402,68","891,49","-0,26","3951,02"
"6,26","5,4",45,"486,29","929,26","-0,38","4941,59"
"6,74","6,33",45,"573,45","974,87","-0,53","6083,97"
"7,32","7,31",45,"664,89","1028,65","-0,71","7415,62"
"7,98","8,33",45,"761,37","1091,02","-0,92","8979,98"
"8,74","9,43",45,"863,7","1162,43","-1,15","10827,89"
