Месяц,x1,x2,x3,y,y_specific,efficiency_factor
Янв,2.13,0.2,60.0,127.76,127.76,299.9061
Фев,3.31,0.52,60.02,329.3,329.3,191.32
Март,4.77,0.52,45.0,362.79,362.79,146.2627
Апр,6.67,0.52,44.99,416.76,416.76,120.1592
Май,7.65,0.52,44.98,444.61,444.61,111.7672
Июнь,8.11,0.52,30.0,472.01,472.01,111.925
Июль,7.65,0.52,29.99,456.82,456.82,114.8366
Авг,6.86,0.52,29.98,430.71,430.71,120.7418
Сент,5.27,0.52,44.98,377.0,377.0,137.5712
Окт,3.61,0.52,44.97,329.83,329.83,175.7032
Нояб,2.37,0.2,44.98,113.91,113.91,240.3165
Дек,1.8,0.2,60.02,129.85,129.85,360.6944
